Light Source:,LAV2-SW,,,,
Filter:,"Tricolor 457 +/- 22 nm, 530 +/- 20 nm, 628 +/- 28 nm",,,,
Camera:,"IDS USB 3.0 Camera, Model UI-3060CPC",,,,
Wavelength (nm),Relative Light Intensity (fraction),Light Filter (fraction),Relative Camera Sensitivity for Red (fraction),Relative Camera Sensitivity for Green (fraction),Relative Camera Sensitivity for Blue (fraction)
429.2,0.033620166,0,0.035291663,0.032582279,0.538862197
429.3,0.034164591,0,0.035190668,0.032621074,0.539445561
429.4,0.034710105,0,0.035090694,0.032662524,0.540016084
429.5,0.035256897,0,0.03499178,0.032706464,0.54057207
429.6,0.035805153,0,0.03489396,0.032752727,0.541114566
429.7,0.036355058,0,0.034797273,0.032801147,0.541652893
429.8,0.0369068,0,0.034701755,0.032851559,0.542187924
429.9,0.037460566,0,0.034607442,0.032903795,0.54271958
430,0.038016541,0,0.034514372,0.032957691,0.543247783
430.1,0.038574912,0,0.034422581,0.03301308,0.543772456
430.2,0.039135867,0,0.034332106,0.033069796,0.54429352
430.3,0.03969959,0,0.034242984,0.033127673,0.544810899
430.4,0.04026627,0,0.034155252,0.033186545,0.545324515
430.5,0.040836092,0,0.034068945,0.033246246,0.545834289
430.6,0.041409244,0,0.033984102,0.033306609,0.546340145
430.7,0.041985911,0,0.033900759,0.033367469,0.546842003
430.8,0.042562088,0,0.033819027,0.03342866,0.547339787
430.9,0.043130394,0,0.0337392,0.033490016,0.547833419
431,0.043694125,0,0.033661197,0.03355137,0.548322822
431.1,0.044256962,0,0.033584899,0.033612557,0.548807916
431.2,0.044822583,0,0.033510185,0.03367341,0.549288625
431.3,0.045394668,0,0.033436934,0.033733764,0.549764871
431.4,0.045976897,0,0.033365027,0.033793452,0.550236576
431.5,0.046572948,0,0.033294343,0.033852308,0.550703663
431.6,0.047186503,0,0.033224763,0.033910167,0.551166053
431.7,0.047821239,0,0.033156165,0.033966861,0.551623669
431.8,0.048480838,0,0.033088431,0.034022226,0.552076433
431.9,0.049168977,0,0.033021439,0.034076096,0.552524268
432,0.04989509,0,0.032955069,0.034128303,0.55296684
432.1,0.050673057,0,0.032889201,0.034178682,0.553403065
432.2,0.051495519,0,0.032823715,0.034227067,0.553833154
432.3,0.052353982,0,0.03275849,0.03427412,0.554257482
432.4,0.053239953,0,0.032693407,0.034320689,0.554676421
432.5,0.05414494,0,0.032628345,0.034366807,0.555090347
432.6,0.05506045,0,0.032563185,0.034412505,0.555499634
432.7,0.055977989,0,0.032497804,0.034457813,0.555904655
432.8,0.056889064,0,0.032432085,0.034502763,0.556305786
432.9,0.057785183,0,0.032365906,0.034547387,0.556703399
433,0.058658082,0,0.032299146,0.034591714,0.557097869
433.1,0.059514359,0,0.032231687,0.034635776,0.557489571
433.2,0.060363056,0,0.032163407,0.034679605,0.557878878
433.3,0.061207507,0,0.032094187,0.03472323,0.558266165
433.4,0.062051046,0,0.032023906,0.034766684,0.558651805
433.5,0.062897008,0,0.031952444,0.034809998,0.559036174
433.6,0.063748728,0,0.031879681,0.034853202,0.559419644
433.7,0.06460954,0,0.031805499,0.034896328,0.559802591
433.8,0.065482778,0,0.031730339,0.034939406,0.560185389
433.9,0.066371777,0,0.031654602,0.034982468,0.560568411
434,0.067272412,0,0.031578308,0.035025546,0.560952031
434.1,0.068160443,0,0.031501477,0.035068669,0.561336625
434.2,0.069042843,0,0.031424129,0.035111869,0.561722566
434.3,0.069930079,0,0.031346284,0.035155178,0.562110228
434.4,0.070832617,0,0.031267963,0.035198625,0.562499985
434.5,0.071760923,0,0.031189184,0.035242243,0.562892212
434.6,0.072725463,0,0.031109969,0.035286063,0.563287282
434.7,0.073736704,0,0.031030338,0.035330115,0.56368557
434.8,0.074805112,0,0.030950309,0.035374431,0.564087451
434.9,0.075941375,0,0.030869904,0.035419041,0.564492058
435,0.07723642,0,0.030789142,0.035463978,0.564898174
435.1,0.078682478,0,0.030708044,0.035509271,0.565305664
435.2,0.080168239,0,0.030626629,0.035554952,0.565714394
435.3,0.081582394,0,0.030544918,0.035601052,0.56612423
435.4,0.082896352,0,0.03046293,0.035647603,0.566535037
435.5,0.084172747,0,0.030380685,0.035694635,0.566946681
435.6,0.085422347,0,0.030298204,0.035742179,0.567359029
435.7,0.086655824,0,0.030215507,0.035790267,0.567771945
435.8,0.087883851,0,0.030132613,0.035838929,0.568185296
435.9,0.0891171,0,0.030049543,0.035888197,0.568598948
436,0.090366243,0,0.029966317,0.035938101,0.569012765
436.1,0.091640538,0,0.029882954,0.035988674,0.569426615
436.2,0.09293341,0,0.029799475,0.036039945,0.569840362
436.3,0.094237688,0,0.0297159,0.036091841,0.570253873
436.4,0.095547967,0,0.029632248,0.036144031,0.570667013
436.5,0.096858837,0,0.02954854,0.036196502,0.571079648
436.6,0.098164891,0,0.029464797,0.036249273,0.571491644
436.7,0.099460723,0,0.029381037,0.036302362,0.571902867
436.8,0.100741259,0,0.029297281,0.036355787,0.572313182
436.9,0.102007314,0,0.029213549,0.036409566,0.572722455
437,0.103262778,0,0.029129632,0.036463717,0.573130552
437.1,0.104511245,0,0.029043927,0.036518258,0.573537338
437.2,0.105756311,0,0.028956257,0.036573208,0.573942681
437.3,0.107001572,0,0.028866787,0.036628585,0.574346444
437.4,0.108250622,0,0.02877568,0.036684406,0.574748495
437.5,0.109507057,0,0.028683102,0.036740691,0.575148698
437.6,0.110774473,0,0.028589217,0.036797456,0.575548889
437.7,0.112042723,0,0.028494189,0.036854721,0.575951336
437.8,0.113295625,0,0.028398183,0.036912502,0.576355649
437.9,0.114545404,0,0.028301364,0.03697082,0.576761428
438,0.115804844,0,0.028203896,0.03702969,0.577168274
438.1,0.117086731,0,0.028105943,0.037089133,0.577575785
438.2,0.11840385,0,0.028007671,0.037149165,0.577983563
438.3,0.119768985,0,0.027909244,0.037209805,0.578391208
438.4,0.121193977,0,0.027810825,0.037271071,0.578798318
438.5,0.122672135,0,0.027712581,0.037332982,0.579204495
438.6,0.124197136,0,0.027614675,0.037395555,0.579609338
438.7,0.125766755,0,0.027517272,0.037458808,0.580012448
438.8,0.127378767,0,0.027420536,0.03752276,0.580413423
438.9,0.12903095,0,0.027324633,0.037587428,0.580811866
439,0.130721077,0,0.027229726,0.037652831,0.581207374
439.1,0.132446926,0,0.02713598,0.037718988,0.581599549
439.2,0.13420627,0,0.02704356,0.037785915,0.58198799
439.3,0.13602033,0,0.02695263,0.037853632,0.582372297
439.4,0.137930751,0,0.026863355,0.037922156,0.582752071
439.5,0.139911797,0,0.026775899,0.037991505,0.583126911
439.6,0.141934845,0,0.026690427,0.038061699,0.583496418
439.7,0.143971273,0,0.026607104,0.038132754,0.583860191
439.8,0.145992459,0,0.026526093,0.038204695,0.58421783
439.9,0.147969779,0,0.02644756,0.038277854,0.584568935
440,0.149875368,0,0.026371669,0.038352385,0.584913107
440.1,0.151714743,0,0.026298585,0.038428255,0.585250151
440.2,0.153510883,0,0.026228471,0.038505433,0.585582068
440.3,0.155280667,0,0.026161494,0.038583888,0.585909603
440.4,0.157040971,0,0.026097816,0.038663587,0.586232938
440.5,0.158808674,0,0.026037604,0.0387445,0.586552251
440.6,0.160600653,0,0.025981021,0.038826593,0.586867724
440.7,0.162433786,0,0.025928194,0.038909837,0.587179536
440.8,0.164317256,0,0.025877593,0.038994198,0.587487869
440.9,0.166233251,0,0.025828308,0.039079647,0.587792903
441,0.168176017,0,0.025780292,0.039166149,0.588094817
441.1,0.170141314,0,0.025733501,0.039253676,0.588393792
441.2,0.172124904,0,0.025687887,0.039342193,0.588690009
441.3,0.174122547,0.0009714,0.025643406,0.039431671,0.588983647
441.4,0.176130004,0.002510591,0.02560001,0.039522076,0.589274888
441.5,0.178143138,0.004229169,0.025557654,0.039613379,0.589563911
441.6,0.180166241,0.006096221,0.025516292,0.039705546,0.589850897
441.7,0.182203373,0.008080836,0.025475877,0.039798546,0.590136026
441.8,0.184254312,0.010307611,0.025436364,0.039892348,0.590419479
441.9,0.186318835,0.013248252,0.025397707,0.03998692,0.590701435
442,0.188396717,0.016955598,0.02535986,0.040082231,0.590982076
442.1,0.190487738,0.021449684,0.025322776,0.040178248,0.59126158
442.2,0.192591572,0.026750545,0.025286409,0.04027494,0.59154013
442.3,0.194694682,0.032878215,0.025250714,0.040372276,0.591817905
442.4,0.196793481,0.039852728,0.025215644,0.040470223,0.592095085
442.5,0.198896291,0.047694118,0.025181154,0.04056875,0.59237185
442.6,0.201011431,0.056422421,0.025147197,0.040667826,0.592648382
442.7,0.203147222,0.067192158,0.025113728,0.040767419,0.59292486
442.8,0.205311985,0.091975586,0.0250807,0.040867496,0.593201465
442.9,0.207514041,0.132087375,0.025048067,0.040968028,0.593478377
443,0.20976171,0.185134974,0.025015783,0.041068981,0.593755777
443.1,0.212063295,0.248725829,0.024983802,0.041170324,0.594033844
443.2,0.214413091,0.320467389,0.024952079,0.041272047,0.594312759
